,normalized_perf
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,1
